,EI,id,long,lat
1,-0.034841269841269465,466880,121.44200000000001,24.9976
2,0.0,466900,121.4489,25.1649
3,0.0,466910,121.5297,25.1826
4,-0.011322751322751458,466920,121.5149,25.0377
5,0.0,466930,121.5445,25.1621
6,0.5053968253968258,466940,121.7405,25.1333
7,0.9669291338582678,466950,122.0797,25.628
8,0.0,466990,121.6133,23.9751
10,0.680157480314961,467060,121.8574,24.5967
11,0.32787401574803093,467080,121.7565,24.764
12,0.8062992125984253,467110,118.2893,24.4073
13,0.0,467300,119.6675,23.256999999999998
14,0.25981627296587906,467350,119.5631,23.5655
15,0.09999999999999909,467410,120.2048,22.9932
16,-0.03333333333333388,467420,120.2367,23.0384
17,0.599999999999999,467440,120.3157,22.566
18,-0.4666666666666661,467480,120.4329,23.4959
19,0.0,467490,120.6841,24.1457
20,0.0,467530,120.8132,23.5082
21,-0.0,467540,120.9038,22.3557
22,0.3342607313195548,467550,120.9595,23.4876
23,0.2188095238095234,467571,121.0142,24.8279
24,0.2934383202099738,467590,120.7463,22.0039
25,0.0,467610,121.3734,23.0975
26,0.4094488188976378,467620,121.5583,22.037
27,0.0,467650,120.9081,23.8813
28,-0.0,467660,121.1546,22.7522
29,0.8333333333333334,467770,120.5234,24.256
31,0.9755905511811024,467990,119.9234,26.1693
32,0.06666666666666765,C0A520,121.402,24.9749
33,0.6296296296296297,C0A530,121.7094,24.9382
34,0.6449735449735442,C0A540,121.7459,24.8928
35,0.4285714285714278,C0A550,121.8237,24.9712
36,0.15555555555555595,C0A560,121.5028,24.7762
37,0.6349206349206344,C0A570,121.598,24.8482
38,0.0,C0A580,121.5463,24.9224
39,0.0,C0A640,121.6629,24.9939
40,0.46666666666666623,C0A650,121.7429,25.0027
41,0.3060846560846554,C0A660,121.8011,25.1132
42,0.0,C0A860,121.633,25.1659
43,0.0,C0A870,121.6087,25.1322
44,0.43333333333333235,C0A880,121.9421,25.0178
45,0.07460317460317392,C0A890,121.8642,25.035999999999998
46,0.0,C0A920,121.5653,25.2638
48,0.055555555555555504,C0A940,121.64399999999999,25.2236
49,0.6023622047244095,C0A950,121.9234,25.129
50,0.8666666666666671,C0A970,122.0021,25.0076
51,-0.053174603174603874,C0A980,121.4697,25.1095
52,-0.043253968253967816,C0A9A0,121.5429,25.078000000000003
