,EI,id,long,lat
296,0.0,C0T960,121.425,23.6607
297,0.0,C0T9A0,121.5398,23.8099
298,0.0,C0T9B0,121.5372,23.9919
299,-0.07857142857142867,C0T9D0,121.741,24.2668
300,0.0,C0T9E0,121.58200000000001,23.8806
301,0.0,C0T9F0,121.5425,23.7971
302,0.0,C0T9G0,121.4201,23.7353
303,0.0,C0T9H0,121.5274,23.6829
304,0.0,C0T9I0,121.5148,23.5839
305,0.4092592592592595,C0T9M0,121.495,23.4552
306,0.0,C0U520,121.6413,24.753
307,-1.2999999999999994,C0U600,121.7655,24.8175
309,0.0,C0U650,121.5871,24.6753
310,0.0,C0U710,121.5257,24.5055
312,-0.0,C0U760,121.8331,24.5219
313,-0.13333333333333286,C0U770,121.8102,24.4494
314,0.3148148148148153,C0U780,121.7979,24.6864
326,0.8531746031746031,C0V210,120.8061,23.2224
327,0.17322834645669227,C0V250,120.5918,23.0801
328,0.09527559055118023,C0V260,120.5399,22.971
329,-0.23333333333333428,C0V310,120.5192,22.8987
338,0.0,C0V530,120.3275,22.8832
350,0.017847769028871655,C0V720,120.3945,22.5077
351,-0.02690288713910762,C0V730,120.3957,22.6056
352,0.01876640419947531,C0V740,120.4836,22.8886
369,0.04488188976377946,C0X100,120.1942,23.0104
370,0.0,C0X110,120.1884,22.9612
371,-0.0,C0X120,120.2486,23.1833
372,0.0,C0X130,120.3154,23.1932
373,0.0,C0X140,120.2031,23.1256
374,0.0,C0X150,120.2278,23.1026
375,0.045931758530183685,C0X160,120.2577,22.9683
376,-1.131102362204725,C0X170,120.3278,22.963
377,-0.01312335958005271,C0X180,120.3633,23.0757
378,0.0,C0X190,120.1522,22.9932
379,0.057874015748030964,C0X200,120.4085,23.0568
391,0.0,C0Z020,121.2623,23.2087
392,0.5476190476190477,C0Z050,121.2132,23.3457
393,0.0,C0Z061,121.3397,23.3215
394,0.0,C0Z070,121.3741,23.4681
395,-0.0,C0Z080,121.3782,23.5876
